Genotypes,FT,PH,KRPC,KPR,CL,CW,1000K,SH,KYPP
CML-269,74.67,145.4,12.67,16.93,14.11,42.47,200,72.58,48.98
CML-296,70.67,154.2,12.27,22.4,12.61,21.6,229.67,58.53,40.38
CML-298,81.67,182.2,13.07,23.27,12.88,33.87,205,80.12,89.24
CML-307,69.33,159.2,13.6,24.93,15.29,66.8,220,77.53,59.47
CML-482,82.67,176.6,13.2,18.47,14.47,47.6,200,58.97,43.57
CM-111,73.67,176.4,14.47,20.8,13.09,33.33,186.67,60.94,51.87
CM-135,77.67,131.8,12.93,20.47,13.11,33.67,195,59.54,44.33
CM-140,76,168,12.8,23.2,15.73,62.47,180,71.06,44.8
CM-212-2,80.33,131.8,13.47,21.27,12.34,40.87,186.67,70.89,48.98
CM- 500-1,76,127.6,12,17.47,15.9,44.87,235,58.72,42.2
CM-500-2,76.67,128.4,15.6,17.93,15,65.33,235.33,64.67,70.07
GYL-1,82,146.2,12.67,22,13.69,43.87,216.67,78.79,52.47
GYL-2,74.33,135.6,12,18.87,14.91,64.27,213.33,75.97,49.07
GYL-4,73.33,159,12.93,30.73,14.23,59,196.67,69.82,60.33
GYL-5,68.33,155.6,15.07,21.47,13.16,61.2,240,68.05,44.33
GYL-6,71.67,137,13.87,28.73,15.24,77.27,230,74.5,93.33
GYL-7,76.67,117,15.33,22.33,11.23,33.47,200,71.6,44.53
GYL-8,71.33,141.8,13.6,28.67,17.69,98.13,200,73.61,146.97
GYL-9,73.67,205.6,13.2,32.27,15.59,46.8,235,75.67,59
GYL-10,72.67,176.6,12.67,19.47,14.39,62.8,200,73.96,51.87
GYL-11,72.67,176.6,13.2,24.8,14.63,72.07,226.67,71.68,52
IGI-19-54,80.67,117,13.47,20.2,13.11,24.8,180,70.38,42.6
IT-INA-011-2,72,136,13.33,25.13,16.79,77.87,196.67,74.51,85.72
HKI 3-4-8-5 ER,78,133.6,12,18.27,10.89,24.53,176.67,71.44,43.84
HKI -163,73,158.6,14.4,25.33,14.97,65,220,62.81,45.6
HKI-193-1,77.33,154.2,13.2,22.88,15.06,55.2,160,65.2,41.75
PFSR-S3-5,79.67,148.8,11.33,20.4,13.87,44.27,183.33,71,49.07
VL-78,81.67,189.6,11.6,12.87,11.23,12.8,203.33,70.37,52.33
H-07R-04-3,77.33,142.8,13.2,21.8,12.99,47.2,206.67,70.73,51.3
LM-5,78,213.2,13.07,26.33,14.81,66.93,243.33,71.83,53.9
